,Unnamed: 0,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,full_date,hour
220,221,49,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Always,True,Heavily,Yes,3,Yes,3,2,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,2023-06-07,18
221,222,30,Male,Less than once a month,Clothing and Fashion,Yes,Few times a week,categories,Multiple pages,5,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Yes,3,Yes,4,1,Wide product selection,Product quality and accuracy,2023-06-07,18
222,223,24,Female,Less than once a month,Clothing and Fashion,No,Rarely,categories,Multiple pages,1,Maybe,Rarely,High shipping costs,Sometimes,True,Moderately,Yes,2,Sometimes,3,2,Competitive prices,Customer service responsiveness,2023-06-07,18
223,224,23,Female,Once a month,Beauty and Personal Care;Home and Kitchen,Yes,Few times a week,Keyword,First page,1,Yes,Sometimes,Found a better price elsewhere,Rarely,True,Heavily,Yes,2,Yes,2,1,Wide product selection,Shipping speed and reliability,2023-06-07,19
224,225,27,Male,Once a month,Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,3,Yes,3,4,User-friendly website/app interface,Product quality and accuracy,2023-06-07,19
225,226,28,Male,Less than once a month,others,No,Rarely,Keyword,Multiple pages,2,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,True,Moderately,Yes,5,Yes,2,2,Competitive prices,Product quality and accuracy,2023-06-07,19
226,227,23,Male,Less than once a month,others,No,Few times a week,Keyword,First page,3,Yes,Rarely,Changed my mind or no longer need the item,Often,True,Moderately,Sometimes,2,Sometimes,3,2,User-friendly website/app interface,Product quality and accuracy,2023-06-07,19
227,228,46,Female,Few times a month,Home and Kitchen,Yes,Few times a week,categories,Multiple pages,1,Yes,Always,Found a better price elsewhere,Often,True,Occasionally,Yes,1,Yes,2,2,Product recommendations,Product quality and accuracy,2023-06-07,19
228,229,27,Male,Less than once a month,others,Sometimes,Rarely,Keyword,First page,2,Maybe,Rarely,others,Often,True,Heavily,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-07,19
229,230,20,Female,Once a month,Home and Kitchen,No,Rarely,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,True,Moderately,Yes,3,Sometimes,2,3,Competitive prices,Product quality and accuracy,2023-06-07,19
230,231,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,4,Yes,Rarely,Changed my mind or no longer need the item,Sometimes,True,Heavily,Yes,4,Yes,3,4,User-friendly website/app interface,Shipping speed and reliability,2023-06-07,19
231,232,29,Female,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,True,Moderately,Yes,2,Sometimes,2,2,Wide product selection,Customer service responsiveness,2023-06-07,19
232,233,29,Female,Less than once a month,Clothing and Fashion,Yes,Few times a month,others,First page,1,Maybe,Sometimes,High shipping costs,Sometimes,True,Moderately,Yes,1,Yes,1,3,Wide product selection,Product quality and accuracy,2023-06-07,20
233,234,57,Female,Few times a month,Home and Kitchen,No,Few times a week,categories,Multiple pages,1,Yes,Often,Found a better price elsewhere,Sometimes,True,Heavily,Yes,4,Yes,3,3,User-friendly website/app interface,Customer service responsiveness,2023-06-07,20
234,235,25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Yes,4,Yes,3,1,User-friendly website/app interface,Customer service responsiveness,2023-06-07,20
235,236,23,Female,Few times a month,Beauty and Personal Care;others,No,Few times a month,categories,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Rarely,True,Occasionally,Yes,1,Sometimes,3,2,Product recommendations,Product quality and accuracy,2023-06-07,21
237,238,39,Male,Less than once a month,Clothing and Fashion;others,Yes,Few times a month,Keyword,Multiple pages,2,Yes,Often,Found a better price elsewhere,Sometimes,True,Moderately,Yes,3,Sometimes,3,2,Wide product selection,Product quality and accuracy,2023-06-07,21
238,239,23,Female,Once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,Multiple pages,4,Yes,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Yes,3,Sometimes,4,3,User-friendly website/app interface,Reducing packaging waste,2023-06-07,22
239,240,25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,5,Yes,Sometimes,High shipping costs,Rarely,True,Heavily,Yes,3,Yes,3,3,Competitive prices,Shipping speed and reliability,2023-06-07,22
240,241,37,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a week,categories,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Often,True,Heavily,Yes,2,Sometimes,3,2,Wide product selection,Reducing packaging waste,2023-06-07,23
241,242,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,No,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,No,3,No,2,2,Product recommendations,Reducing packaging waste,2023-06-07,23
242,243,23,Female,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Rarely,Sometimes,3,No,3,3,User-friendly website/app interface,Reducing packaging waste,2023-06-07,23
243,244,23,Female,Once a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a month,Filter,First page,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,No,3,No,3,3,Product recommendations,Reducing packaging waste,2023-06-07,23
244,245,23,Female,Once a week,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,2,No,Often,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,No,3,2,Product recommendations,Customer service responsiveness,2023-06-07,23
245,246,21,Female,Once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,Multiple pages,4,Maybe,Sometimes,Found a better price elsewhere,Rarely,True,Moderately,No,2,No,2,4,Competitive prices,Customer service responsiveness,2023-06-07,23
246,247,21,Female,Once a week,Clothing and Fashion,No,Few times a week,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,No,4,Yes,2,1,Product recommendations,Customer service responsiveness,2023-06-07,23
247,248,34,Female,Once a week,Beauty and Personal Care,No,Few times a week,Filter,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Often,True,Occasionally,No,2,No,3,2,Competitive prices,Customer service responsiveness,2023-06-07,23
248,249,23,Female,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a week,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,No,3,No,3,1,Product recommendations,Customer service responsiveness,2023-06-07,23
249,250,23,Female,Once a week,Beauty and Personal Care,No,Few times a month,Filter,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,No,3,2,Product recommendations,Reducing packaging waste,2023-06-07,23
250,251,23,Prefer not to say,Few times a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,No,3,No,3,1,Competitive prices,Customer service responsiveness,2023-06-08,0
251,252,27,Female,Once a week,Beauty and Personal Care,No,Few times a month,categories,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Rarely,Sometimes,3,No,2,1,Wide product selection,Customer service responsiveness,2023-06-08,0
252,253,23,Female,Less than once a month,others,No,Rarely,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Never,True,Occasionally,Sometimes,3,Sometimes,3,2,Wide product selection,Product quality and accuracy,2023-06-08,0
253,254,47,Female,Less than once a month,Clothing and Fashion,No,Rarely,categories,Multiple pages,1,Maybe,Rarely,Changed my mind or no longer need the item,Always,True,Heavily,Yes,5,Sometimes,3,2,Product recommendations,Product quality and accuracy,2023-06-08,1
254,255,54,Male,Less than once a month,others,No,Rarely,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Never,True,Heavily,Yes,1,Yes,3,3,Wide product selection,Product quality and accuracy,2023-06-08,2
255,256,46,Prefer not to say,Once a week,Beauty and Personal Care;Home and Kitchen,No,Few times a month,Filter,Multiple pages,4,Maybe,Rarely,Changed my mind or no longer need the item,Sometimes,True,Moderately,No,3,No,3,3,User-friendly website/app interface,Reducing packaging waste,2023-06-08,2
256,257,38,Female,Once a month,others,No,Few times a week,categories,Multiple pages,2,No,Sometimes,Found a better price elsewhere,Rarely,True,Moderately,Yes,3,No,1,3,Competitive prices,Customer service responsiveness,2023-06-08,2
257,258,45,Female,Few times a month,Groceries and Gourmet Food;Home and Kitchen,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Always,True,Moderately,No,1,No,2,2,Product recommendations,Reducing packaging waste,2023-06-08,2
258,259,34,Male,Once a week,Clothing and Fashion,Yes,Few times a week,others,Multiple pages,4,No,Rarely,Changed my mind or no longer need the item,Often,True,Occasionally,No,4,No,3,2,Product recommendations,Reducing packaging waste,2023-06-08,2
259,260,44,Female,Once a week,Clothing and Fashion,Sometimes,Few times a month,categories,Multiple pages,2,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,No,5,Sometimes,4,3,Competitive prices,Customer service responsiveness,2023-06-08,2
260,261,23,Female,Few times a month,Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,Filter,Multiple pages,2,No,Always,Changed my mind or no longer need the item,Sometimes,True,Rarely,No,2,No,3,3,Competitive prices,Customer service responsiveness,2023-06-08,2
261,262,32,Female,Once a week,Beauty and Personal Care,Yes,Few times a week,Filter,First page,3,No,Often,Changed my mind or no longer need the item,Sometimes,True,Moderately,No,4,No,4,5,Product recommendations,Customer service responsiveness,2023-06-08,2
262,263,23,Female,Once a week,Beauty and Personal Care,Yes,Multiple times a day,Keyword,Multiple pages,3,Yes,Always,Changed my mind or no longer need the item,Always,True,Occasionally,Yes,2,No,4,3,Product recommendations,Product quality and accuracy,2023-06-08,2
263,264,23,Female,Few times a month,Clothing and Fashion,No,Few times a week,Filter,First page,2,Maybe,Always,Found a better price elsewhere,Often,True,Rarely,No,2,No,3,2,Product recommendations,Customer service responsiveness,2023-06-08,2
264,265,23,Male,Once a week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Always,True,Heavily,Yes,1,Yes,1,1,Wide product selection,Product quality and accuracy,2023-06-08,2
265,266,19,Female,Few times a month,Clothing and Fashion,No,Few times a week,categories,Multiple pages,2,Yes,Often,Found a better price elsewhere,Always,True,Moderately,Yes,4,Yes,2,2,User-friendly website/app interface,Customer service responsiveness,2023-06-08,3
266,267,23,Female,Less than once a month,Beauty and Personal Care;others,No,Few times a month,Keyword,Multiple pages,5,Yes,Sometimes,Found a better price elsewhere,Always,True,Heavily,Yes,5,No,4,1,Wide product selection,Shipping speed and reliability,2023-06-08,3
267,268,23,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Always,True,Moderately,No,2,Yes,3,3,Product recommendations,Customer service responsiveness,2023-06-08,3
268,269,34,Male,Once a week,Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,Filter,Multiple pages,3,No,Sometimes,Changed my mind or no longer need the item,Often,True,Occasionally,No,3,No,3,3,Product recommendations,Customer service responsiveness,2023-06-08,3
269,270,34,Female,Once a week,Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,3,No,Sometimes,Found a better price elsewhere,Sometimes,True,Rarely,Sometimes,3,No,2,4,Product recommendations,Reducing packaging waste,2023-06-08,3
270,271,34,Female,Once a month,Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,4,Yes,Often,Found a better price elsewhere,Sometimes,True,Moderately,Sometimes,3,No,4,4,Wide product selection,Product quality and accuracy,2023-06-08,3
271,272,23,Prefer not to say,Few times a month,Beauty and Personal Care,No,Few times a week,categories,Multiple pages,3,No,Often,Found a better price elsewhere,Often,True,Occasionally,No,2,Yes,2,3,Wide product selection,Customer service responsiveness,2023-06-08,3
272,273,45,Female,Once a week,Clothing and Fashion,Sometimes,Rarely,Keyword,Multiple pages,2,Maybe,Always,High shipping costs,Rarely,True,Moderately,No,3,Sometimes,2,3,Competitive prices,Customer service responsiveness,2023-06-08,3
273,274,23,Female,Once a week,Groceries and Gourmet Food,Yes,Few times a week,Filter,First page,3,No,Always,Changed my mind or no longer need the item,Rarely,True,Rarely,Sometimes,2,No,2,1,Competitive prices,Shipping speed and reliability,2023-06-08,3
274,275,34,Female,Once a week,Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,First page,2,No,Sometimes,Changed my mind or no longer need the item,Often,True,Moderately,No,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-08,3
275,276,37,Female,Once a week,Beauty and Personal Care,No,Few times a week,categories,First page,2,Yes,Always,Found a better price elsewhere,Often,True,Occasionally,No,3,No,3,3,Product recommendations,Reducing packaging waste,2023-06-08,3
276,277,34,Female,Once a week,Clothing and Fashion,No,Few times a week,Filter,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Often,True,Occasionally,No,2,No,3,2,Competitive prices,Customer service responsiveness,2023-06-08,3
277,278,23,Others,Once a month,Groceries and Gourmet Food,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Never,Sometimes,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-08,3
278,279,45,Female,Once a week,others,No,Rarely,Keyword,Multiple pages,2,No,Sometimes,others,Often,True,Occasionally,No,3,No,3,3,User-friendly website/app interface,Reducing packaging waste,2023-06-08,3
279,280,26,Male,Less than once a month,Clothing and Fashion,Yes,Few times a week,Keyword,Multiple pages,5,Yes,Rarely,Found a better price elsewhere,Rarely,True,Never,Yes,3,Yes,1,3,Wide product selection,User interface ,2023-06-08,3
280,281,34,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a week,categories,Multiple pages,2,No,Often,Changed my mind or no longer need the item,Often,True,Moderately,No,2,No,2,4,Competitive prices,Customer service responsiveness,2023-06-08,3
281,282,21,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a week,Filter,Multiple pages,3,No,Rarely,Changed my mind or no longer need the item,Rarely,True,Occasionally,No,3,No,3,5,Product recommendations,Product quality and accuracy,2023-06-08,4
282,283,23,Prefer not to say,Few times a month,Clothing and Fashion;Home and Kitchen,Sometimes,Few times a week,Keyword,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Often,True,Moderately,No,4,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-08,4
283,284,41,Male,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Keyword,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Never,True,Heavily,Yes,3,Yes,3,4,Wide product selection,Irrelevant product suggestions,2023-06-08,4
284,285,32,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Filter,Multiple pages,4,Maybe,Rarely,Found a better price elsewhere,Sometimes,True,Occasionally,No,3,No,3,3,Competitive prices,Customer service responsiveness,2023-06-08,4
285,286,23,Female,Once a week,Beauty and Personal Care,Sometimes,Few times a week,Filter,Multiple pages,3,Maybe,Rarely,Found a better price elsewhere,Sometimes,True,Occasionally,No,4,Sometimes,3,3,Competitive prices,Shipping speed and reliability,2023-06-08,4
286,287,22,Female,Multiple times a week,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Always,True,Occasionally,Sometimes,4,Sometimes,3,4,Product recommendations,Product quality and accuracy,2023-06-08,4
287,288,48,Female,Multiple times a week,Clothing and Fashion,Yes,Rarely,Keyword,First page,4,No,Rarely,High shipping costs,Rarely,True,Moderately,No,1,Sometimes,2,2,Wide product selection,Shipping speed and reliability,2023-06-08,4
288,289,32,Male,Few times a month,Groceries and Gourmet Food,Yes,Few times a week,Filter,Multiple pages,3,Maybe,Rarely,Found a better price elsewhere,Sometimes,True,Occasionally,Yes,3,Sometimes,3,3,Competitive prices,Customer service responsiveness,2023-06-08,4
289,290,28,Prefer not to say,Few times a month,Beauty and Personal Care,Sometimes,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,High shipping costs,Sometimes,True,Occasionally,Sometimes,3,No,3,3,Product recommendations,Reducing packaging waste,2023-06-08,4
290,291,23,Female,Once a week,Beauty and Personal Care,Yes,Few times a week,Filter,First page,3,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,True,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-08,4
291,292,23,Female,Few times a month,Beauty and Personal Care,No,Few times a week,categories,First page,3,Yes,Rarely,Changed my mind or no longer need the item,Always,True,Occasionally,No,3,Sometimes,3,3,Product recommendations,Customer service responsiveness,2023-06-08,4
292,293,26,Female,Multiple times a week,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,No,4,Sometimes,3,3,Competitive prices,Reducing packaging waste,2023-06-08,4
293,294,34,Female,Multiple times a week,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Moderately,Sometimes,4,Sometimes,3,3,User-friendly website/app interface,Reducing packaging waste,2023-06-08,4
294,295,23,Female,Multiple times a week,Beauty and Personal Care,Sometimes,Few times a week,Filter,First page,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Heavily,Yes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-08,4
295,296,22,Female,Once a week,Clothing and Fashion,Sometimes,Few times a month,Filter,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-08,4
296,297,32,Prefer not to say,Once a month,Clothing and Fashion,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Never,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Sometimes,3,Sometimes,3,4,Product recommendations,Reducing packaging waste,2023-06-08,4
297,298,47,Female,Once a month,Clothing and Fashion,No,Multiple times a day,categories,Multiple pages,2,Yes,Often,High shipping costs,Sometimes,True,Moderately,Yes,3,Sometimes,2,3,User-friendly website/app interface,Shipping speed and reliability,2023-06-08,4
298,299,22,Female,Few times a month,Beauty and Personal Care,Sometimes,Few times a week,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Occasionally,Yes,3,Sometimes,3,3,Product recommendations,Reducing packaging waste,2023-06-08,4
299,300,47,Male,Few times a month,Clothing and Fashion;Home and Kitchen;others,No,Few times a week,Filter,Multiple pages,2,Yes,Often,Changed my mind or no longer need the item,Often,True,Moderately,No,3,Yes,2,2,Competitive prices,Product quality and accuracy,2023-06-08,8
300,301,22,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple times a day,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Often,True,Heavily,Yes,1,Sometimes,2,1,Competitive prices,Customer service responsiveness,2023-06-08,8
301,302,45,Prefer not to say,Once a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Rarely,others,First page,5,Maybe,Never,others,Never,True,Never,Sometimes,5,Sometimes,5,5,User-friendly website/app interface,Product quality and accuracy,2023-06-08,8
302,303,21,Male,Less than once a month,others,Sometimes,Rarely,others,First page,4,Maybe,Rarely,Changed my mind or no longer need the item,Rarely,True,Rarely,No,4,Sometimes,4,4,Wide product selection,Shipping speed and reliability,2023-06-08,8
303,304,27,Others,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,categories,Multiple pages,2,No,Often,Found a better price elsewhere,Often,True,Heavily,No,2,Yes,2,2,Wide product selection,Product quality and accuracy,2023-06-08,8
304,305,37,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen;others,Sometimes,Few times a week,Keyword,Multiple pages,1,Maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Heavily,Sometimes,2,Sometimes,2,1,Wide product selection,Customer service responsiveness,2023-06-08,8
305,306,33,Female,Multiple times a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Few times a month,categories,Multiple pages,1,Yes,Always,Changed my mind or no longer need the item,Often,True,Moderately,Yes,2,No,3,2,Wide product selection,Reducing packaging waste,2023-06-08,8
306,307,22,Others,Once a week,Beauty and Personal Care,No,Few times a month,categories,First page,3,No,Often,Changed my mind or no longer need the item,Often,True,Occasionally,No,2,No,2,3,Product recommendations,Customer service responsiveness,2023-06-08,8
307,308,25,Male,Few times a month,Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Filter,Multiple pages,3,No,Often,Changed my mind or no longer need the item,Often,True,Moderately,No,3,No,3,3,Wide product selection,Product quality and accuracy,2023-06-08,8
308,309,28,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Often,True,Moderately,Yes,1,Yes,1,1,Product recommendations,Customer service responsiveness,2023-06-08,8
311,312,32,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,Yes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Often,Changed my mind or no longer need the item,Often,True,Moderately,Sometimes,2,Sometimes,2,1,Wide product selection,Customer service responsiveness,2023-06-08,9
312,313,27,Female,Once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,categories,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,True,Heavily,No,1,No,2,2,Wide product selection,Product quality and accuracy,2023-06-08,9
313,314,18,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion,No,Few times a week,Keyword,Multiple pages,2,No,Often,High shipping costs,Often,True,Heavily,Sometimes,1,No,2,2,Competitive prices,Shipping speed and reliability,2023-06-08,9
314,315,37,Male,Less than once a month,others,No,Rarely,others,First page,3,No,Often,Changed my mind or no longer need the item,Never,True,Heavily,Sometimes,4,Yes,4,4,Wide product selection,Product quality and accuracy,2023-06-08,9
315,316,28,Male,Once a month,Clothing and Fashion,Yes,Few times a week,categories,Multiple pages,1,No,Sometimes,others,Sometimes,True,Heavily,Yes,2,Sometimes,3,3,Product recommendations,Product quality and accuracy,2023-06-08,12
316,317,48,Female,Less than once a month,Beauty and Personal Care,Sometimes,Rarely,categories,First page,5,Yes,Always,Found a better price elsewhere,Rarely,True,Occasionally,Yes,3,Yes,3,2,Competitive prices,Shipping speed and reliability,2023-06-08,13
317,318,50,Female,Multiple times a week,Home and Kitchen,Yes,Multiple times a day,others,Multiple pages,3,Yes,Sometimes,Found a better price elsewhere,Always,True,Moderately,Yes,2,Yes,3,3,Wide product selection,Product quality and accuracy,2023-06-08,14
318,319,24,Female,Few times a month,Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,True,Heavily,Yes,3,Sometimes,3,2,Competitive prices,User interface of app,2023-06-08,14
319,320,40,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion;others,No,Few times a week,categories,First page,1,No,Always,Found a better price elsewhere,Sometimes,True,Never,Sometimes,5,Sometimes,3,4,Product recommendations,Product quality and accuracy,2023-06-08,15
320,321,25,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Filter,Multiple pages,1,Yes,Always,High shipping costs,Always,True,Heavily,Yes,1,Yes,1,3,Quick delivery,Reducing packaging waste,2023-06-08,16
321,322,31,Male,Once a week,Beauty and Personal Care;Home and Kitchen;others,No,Multiple times a day,Keyword,Multiple pages,4,Yes,Always,Changed my mind or no longer need the item,Sometimes,True,Heavily,Yes,2,Yes,3,1,Competitive prices,Product quality and accuracy,2023-06-08,17
322,323,18,Female,Once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,2,No,Sometimes,Changed my mind or no longer need the item,Always,True,Heavily,Yes,1,Yes,5,3,User-friendly website/app interface,Shipping speed and reliability,2023-06-08,17
323,324,26,Female,Once a week,Beauty and Personal Care,Yes,Few times a month,categories,Multiple pages,1,Yes,Often,Found a better price elsewhere,Sometimes,True,Moderately,Yes,1,Yes,1,1,Wide product selection,Product quality and accuracy,2023-06-08,19
325,326,18,Male,Once a week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Multiple times a day,categories,First page,3,No,Often,Found a better price elsewhere,Sometimes,True,Moderately,No,3,No,3,2,Competitive prices,Reducing packaging waste,2023-06-08,22
326,327,40,Male,Less than once a month,Home and Kitchen;others,No,Few times a week,Keyword,Multiple pages,3,No,Often,Found a better price elsewhere,Often,True,Moderately,No,2,No,2,2,Competitive prices,Product quality and accuracy,2023-06-08,22
327,328,19,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Often,Found a better price elsewhere,Often,True,Heavily,Yes,1,Yes,1,1,Wide product selection,Customer service responsiveness,2023-06-08,22
329,330,43,Male,Less than once a month,Groceries and Gourmet Food;Home and Kitchen,No,Rarely,Keyword,Multiple pages,3,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Occasionally,Sometimes,1,Sometimes,3,2,Wide product selection,Customer service responsiveness,2023-06-08,22
330,331,25,Prefer not to say,Once a week,Clothing and Fashion;Home and Kitchen;others,No,Few times a month,categories,Multiple pages,3,Maybe,Sometimes,Changed my mind or no longer need the item,Often,True,Occasionally,No,4,No,2,3,Competitive prices,Reducing packaging waste,2023-06-08,22
331,332,22,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,True,Moderately,Yes,1,Sometimes,2,1,Competitive prices,Product quality and accuracy,2023-06-08,22
333,334,34,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Multiple times a day,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,True,Heavily,Sometimes,1,Yes,1,1,Competitive prices,Customer service responsiveness,2023-06-08,22
334,335,30,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Sometimes,Few times a month,others,First page,4,Maybe,Sometimes,High shipping costs,Often,True,Moderately,Sometimes,2,Sometimes,4,3,User-friendly website/app interface,Reducing packaging waste,2023-06-08,22
